           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -74920.406        66539.891        310616.63        -10316534        401750.38       -142707.05
              -17              -18                7       -21877.215        70058.609        589252.13        -10194574        415414.34       -143403.98
              -16              -18                7        14237.762        71534.313        934975.31        -10082482        428401.41       -136224.64
              -15              -18                7        33424.445        70967.008        1347786.6         -9980256        440711.34       -121169.02
              -14              -18                7         35682.91        68356.656        1827686.1         -9887898        452344.31       -98237.094
              -13              -18                7        75187.031        73372.492        2409877.8         -9780332        384173.47       -50737.926
              -12              -18                7        159043.48            78914          3105254         -9651089        333881.72       -7268.0547
              -11              -18                7        251214.19        80579.617        3852767.5         -9528444        343035.38        18482.096
              -10              -18                7        342795.44         85608.68        4647059.5         -9415307        341305.66        43842.988
               -9              -18                7        433787.25        94001.156          5488129         -9311681        328692.44        68814.609
               -8              -18                7        175244.94        33484.219        6084154.5         -9384570        90479.078        140722.69
               -7              -18                7        139238.27        21044.438          6991739         -9338610        226822.89        137233.19
               -6              -18                7        126267.37        10555.643          7818241         -9289479        329589.13        141142.81
               -5              -18                7         136332.2        2017.8359          8563660         -9237176        398777.63        152451.55
               -4              -18                7        169432.84       -4568.9863          9227994         -9181702        434388.69        171159.42
               -3              -18                7        225569.19       -9204.8496          9811246         -9123056        436421.63        197266.38
               -2              -18                7        304741.38       -11889.696         10313413         -9061239         404877.5         230772.5
               -1              -18                7        257932.41         1139.418         11008043         -8988679        378737.13        195115.78
                0              -18                7       -94150.086       -9574.2168         11297494         -9013750        504612.91         107697.7
                1              -18                7       -182519.91        -36387.84         11221743         -9004545        519915.06       -56168.938
                2              -18                7       -255826.72       -22376.215         11070832         -9015408        484718.19       -86671.688
                3              -18                7       -289822.56       -9680.4922         10884315         -9025318        463405.53       -102031.14
                4              -18                7       -284507.38        1699.3398         10662194         -9034280        455976.97        -102247.3
                5              -18                7       -239881.19        11763.299         10404470         -9042289        462432.38       -87320.195
                6              -18                7       -155943.98         20511.34         10111138         -9049347        482771.31       -57249.848
                7              -18                7       -32695.713        27943.512          9782204         -9055456        516994.66       -12036.162
                8              -18                7        118956.74         17199.57          9428518         -9011040        415552.94        64412.754
                9              -18                7        106736.62        -13807.53          9162110         -8893631         193823.3        103051.79
               10              -18                7        10489.852       -8579.5684          8944452         -8826843        196909.03        85847.797
               11              -18                7       -68648.063       -1017.6572          8740954         -8738383        192234.45        66286.422
               12              -18                7       -131156.33        9447.3096          8544447         -8629568        188040.84         46533.59
               13              -18                7       -190710.03        43878.719        8164515.5         -8537305        448888.97        99228.164
               14              -18                7       -204538.63        48291.617          7933270         -8350154           463341        99083.359
               15              -18                7        -201980.5        54000.457          7749384         -8140659        464668.78        102886.23
               16              -18                7       -183052.39        61026.328          7612806         -7908861        453018.03        110671.77
               17              -18                7       -147754.31        69369.234          7523536         -7654759        428388.56        122439.97
               18              -18                7       -96086.234         79029.18        7481576.5         -7378356        390780.56        138190.89
              -18              -17                7       -69404.906        250472.88        371531.72        -10402432          1053728       -338963.44
              -17              -17                7       -2453.4844        254655.44        677991.94        -10282038          1092351       -321596.75
              -16              -17                7        47569.637           256795        1051540.4        -10171512          1130297       -296353.78
              -15              -17                7        80664.539        256891.59        1492176.6        -10070853          1167566       -263234.56
              -14              -17                7        152310.31        262719.09        2026719.6         -9958210        1131472.1       -205378.77
              -13              -17                7        251916.75        275437.44          2673037         -9827760        1039048.8       -129678.65
              -12              -17                7        325927.97        288379.69        3412525.5         -9697429        961463.31       -53573.918
              -11              -17                7        413932.03        295925.88          4186051         -9566094        973932.38       -8443.5098
              -10              -17                7        509158.44        305029.72          4995628         -9442994        997987.06        28124.168
               -9              -17                7        603795.38        317497.06        5851983.5         -9329404        1011158.3        64302.605
               -8              -17                7        234457.94        241219.78          6241640         -9403635        918176.25        202527.42
               -7              -17                7        124969.55        196907.78        6811468.5         -9393426        1208449.3        283237.91
               -6              -17                7        215623.98        173309.77        7699154.5         -9347723        1481283.8        342250.38
               -5              -17                7        329314.22        151662.67          8505757         -9298847        1720540.9        408662.03
               -4              -17                7        466040.31        131966.63          9231276         -9246802        1926220.4        482472.84
               -3              -17                7        625801.94        114221.51          9875712         -9191584          2098322        563682.75
               -2              -17                7        639185.13        127533.67         11334109         -9217019          2209329        330320.69
               -1              -17                7        285381.22         142336.3         12372749         -9229358        2226460.5        142551.56
                0              -17                7       -174292.03       -45540.816         12612586         -9122332          2547323        217566.08
                1              -17                7       -318701.44       -22962.078         12442906         -9117497          2404393        116649.44
                2              -17                7       -427274.69        7456.9302         12219766         -9107112        2270867.3        80509.188
                3              -17                7       -496536.88        36560.059         11961022         -9095776        2151226.3        59512.156
                4              -17                7       -526488.06        64347.273         11666674         -9083488        2045468.8        53658.359
                5              -17                7       -517128.31        90818.617         11336720         -9070249        1953595.3        62947.914
                6              -17                7       -468457.38        115974.05         10971162         -9056060        1875605.8        87380.688
                7              -17                7        -380475.5        139813.63         10569999         -9040919          1811500        126956.78
                8              -17                7          -281484        101879.29         10141061         -8903039        1249136.3        215009.78
                9              -17                7        -177513.3        24637.266          9751659         -8734446        755144.88        267635.16
               10              -17                7       -263401.25        27656.842          9488000         -8674334        713395.81        252133.19
               11              -17                7       -332180.31        33010.363          9238503         -8592549        663886.38        234273.84
               12              -17                7       -393248.81        55829.133          8811009         -8527493        808482.25        264262.63
               13              -17                7       -437042.94        90206.563          8412153         -8442260        1003854.1        312014.88
               14              -17                7       -460963.91        133003.56          8096288         -8326476        1201021.3        365960.72
               15              -17                7       -453586.81        151346.91          7892161         -8133456          1192699        379723.38
               16              -17                7       -428358.47        167624.77          7740445       -7912392.5        1148534.8        392297.34
               17              -17                7       -386760.28        185219.75          7636037         -7669026        1091391.6           408854
               18              -17                7       -328792.03        204131.72        7578936.5       -7403356.5        1021270.3        429393.31
              -18              -16                7       -91366.797        423040.38        421491.53        -10485750        1622993.4       -514215.03
              -17              -16                7       -10507.113        427886.88        755776.69        -10366922        1686575.4       -478784.72
              -16              -16                7        53424.172        430690.25          1157150        -10257961        1749480.1       -435478.13
              -15              -16                7        157203.09        437340.06          1644091        -10140227        1745428.1       -367267.06
              -14              -16                7        290463.25        449162.81          2235152        -10007564        1690615.4          -280957
              -13              -16                7        398128.06         461209.5        2919383.5         -9875023          1650640       -194242.42
              -12              -16                7        480197.72        473480.25        3696785.5         -9742600        1625502.9       -107123.32
              -11              -16                7        538371.75        485939.31          4563813         -9610121        1617010.1       -20825.445
              -10              -16                7        637243.19           499118        5388674.5         -9477057        1666849.4        26949.035
               -9              -16                7        688797.19        507541.66        6225818.5         -9367224        1702710.1        87880.781
               -8              -16                7        383682.31        454483.09        6659802.5         -9344628        1988275.4        249552.22
               -7              -16                7        249300.44        429105.72        6925091.5         -9232187          2793769        357331.63
               -6              -16                7        375259.75        402404.22          7602962         -9146788        3466179.8        458381.16
               -5              -16                7        592575.38        367647.94          8470748         -9101342        3875505.3        579895.69
               -4              -16                7        895051.81        314222.28          9886661         -9146851          4059169        567581.88
               -3              -16                7        1001911.4        276305.44         11593458         -9248876        4010830.5        428553.56
               -2              -16                7        745899.19        288720.69         12803980         -9291080        3941033.3        321740.31
               -1              -16                7        353452.06        225281.91         13496215         -9324828        3764947.5        310495.94
                0              -16                7       -76070.586        65304.281         13580420         -9181756          4188610        373474.88
                1              -16                7       -460140.56       -11344.971         13716236         -9105730        4141275.5        385038.72
                2              -16                7       -603980.25        35481.449         13420868         -9074096        3909421.8        343260.88
                3              -16                7       -708508.88        80991.969         13089896         -9041512          3691452        316626.31
                4              -16                7       -773726.31        125186.61         12723320         -9007976          3487366        305134.94
                5              -16                7       -799632.94        168065.34         12321137         -8973489        3297163.5        308786.91
                6              -16                7       -786228.44        209628.19         11883352         -8938052        3120845.8        327582.16
                7              -16                7       -755927.75        236557.28         11378563         -8895878        2696574.5        373380.88
                8              -16                7        -662889.5        197093.86         10850920         -8791047          2080994        412628.44
                9              -16                7       -485673.81         86063.32         10325903         -8613731        1415968.5        431870.78
               10              -16                7       -517983.03        65601.891          9987097         -8535810        1243817.3        420963.94
               11              -16                7       -581434.06        77715.852          9534679         -8492891        1277200.3        432569.28
               12              -16                7       -629341.56        103619.75          9033910         -8445245        1405300.4        469185.38
               13              -16                7          -657376         137943.2          8616130         -8367044        1535196.1        511995.22
               14              -16                7       -665537.38        180686.23        8281342.5       -8258290.5          1666887        560998.75
               15              -16                7       -653825.94        231848.84          8029542       -8118982.5        1800373.6        616196.19
               16              -16                7       -622570.56        263747.94          7859391         -7917578        1765730.6        642359.75
               17              -16                7       -574672.19        290594.91          7739843         -7684945        1676074.1        663704.75
               18              -16                7       -510403.78        318758.88        7667604.5         -7430010        1573439.3         689032.5
              -18              -15                7       -140805.97        584242.38        460495.88        -10566488          2109546       -668461.69
              -17              -15                7       -46038.211        589752.81        822606.25        -10449227        2198087.3       -614967.81
              -16              -15                7        89865.641        597235.38          1261992        -10326380        2226041.5       -536402.69
              -15              -15                7        256779.55        608162.63        1797796.5        -10191506          2208839       -439482.75
