           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7      -0.94903731       -531.32153        15.076025        656.91101      0.020742014        59.741299
              -17              -18                7       -1.0382823       -618.25232        15.026802        1526.0553       0.10069271        86.499954
              -16              -18                7       -1.1101304        -694.8078        14.966283        2327.5161       0.16079904         111.7857
              -15              -18                7        -1.164582       -760.98804        14.894464        3061.2932       0.20106097        135.59851
              -14              -18                7       -1.2016368       -816.79285        14.811346        3727.3872       0.22147849        157.93845
              -13              -18                7       -1.2132716       -920.11157        14.700559        4301.4678       0.23920801         171.1949
              -12              -18                7       -1.1947892       -998.17395        14.554932        4747.5811       0.22623068        175.28276
              -11              -18                7       -1.1596677       -965.53436        14.395297        5104.3892       0.15848225        193.99736
              -10              -18                7       -1.1129694       -898.21173         14.23834        5415.5503      0.067118011        222.56941
               -9              -18                7       -1.0546944       -796.20587        14.084064        5681.0649     -0.047861993         260.9989
               -8              -18                7       -1.0061694       -805.22992        13.881371        5543.7432      0.050972283         130.0168
               -7              -18                7      -0.95563531       -763.83258        13.927271        5263.6235      0.021866851        108.15883
               -6              -18                7      -0.92301261       -745.05164        13.940533        4854.7129       0.01830066        98.341049
               -5              -18                7      -0.90830165        -748.8866        13.921154        4317.0132      0.040273577        100.56345
               -4              -18                7       -0.9115023       -775.33801        13.869137        3650.5227       0.08778581        114.82606
               -3              -18                7      -0.93261439       -824.40509        13.784479        2855.2419       0.16083708        141.12885
               -2              -18                7       -0.9716382        -896.0885        13.667183        1931.1718       0.25942761        179.47183
               -1              -18                7       -1.0081116       -1177.2222         13.58207        946.71814       0.31673533        152.04987
                0              -18                7      -0.82262731       -1087.4601        13.641459       -34.788597       0.37112507       -155.98438
                1              -18                7       -0.7989887       -731.54712        13.712443       -1029.0771       0.46447188       -247.18552
                2              -18                7      -0.77690709       -541.69543        13.681862       -1930.3536       0.56319487       -354.55807
                3              -18                7      -0.75991553       -428.51013        13.656978       -2749.2681       0.64436889        -411.5033
                4              -18                7      -0.74801433       -391.99133        13.637793       -3485.8196       0.70799375       -418.02124
                5              -18                7      -0.74120307       -432.13867        13.624304       -4140.0103       0.75406951       -374.11182
                6              -18                7      -0.73948205       -548.95154        13.616511       -4711.8369       0.78259593       -279.77527
                7              -18                7      -0.74285126       -742.43115        13.614421       -5201.3027       0.79357314       -135.01115
                8              -18                7      -0.76186925       -757.13513        13.647842       -5525.2246       0.71956438        4.0500183
                9              -18                7      -0.74261445       -579.79474        13.850073       -5412.8838       0.66258353       -31.430862
               10              -18                7      -0.68321848       -742.39581        14.069995       -5221.7407        0.7387892       -60.656025
               11              -18                7      -0.63338852       -884.96985        14.279749       -4972.6055       0.80372846       -78.704857
               12              -18                7      -0.59390396       -1001.8662        14.479087       -4664.1802       0.85447109       -86.742447
               13              -18                7      -0.59202856       -940.57446         14.65926       -4261.3188       0.80073106       -116.74718
               14              -18                7      -0.61436701       -926.40503        14.788921       -3650.9722       0.71776891       -95.545013
